operation,type,manufacturer,engine_type,engines,year_manufacturing,seating,fatalities
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1976,1,1
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1978,1,0
AEROCLUBE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1970,2,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,BIMOTOR,1976,6,2
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1973,4,0
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2005,4,2
OPERADOR PARTICULAR,AVIÃO,RAYTHEON AIRCRAFT,TURBOÉLICE,BIMOTOR,1999,11,14
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1994,7,5
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1981,4,2
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,0,4,3
ÓRGÃO PÚBLICO,HELICÓPTERO,SCHWEIZER,PISTÃO,MONOMOTOR,2007,2,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1980,1,1
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2009,4,2
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1976,1,1
OPERADOR PARTICULAR,AVIÃO,***,PISTÃO,MONOMOTOR,2009,2,2
OPERADOR PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,1994,6,1
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1981,6,2
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1981,6,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,2004,1,0
OPERADOR PARTICULAR,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,1999,7,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1981,6,3
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2005,4,0
ÓRGÃO PÚBLICO,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2003,2,2
